order_id|order_date|ship_date|platform|category|product_name|unit_price|quantity|gross_sales|campaign|voucher_code|discount_pct|discount_value|shipping_cost|net_sales|payment_method|customer_segment|region|stock_status|order_status|customer_rating|priority_flag
ORD00612|2024-04-19|2024/04/24|Tokopedia|home living|Table Lamp|188905|4|755620|Flash Sale|DISC10|10|75562|12000|680058|E-Wallet|VIP|Bekasi|Preorder|completed|5.0|Y
ORD00112|2024/01/24|29/01/2024|TikTok Shop|Electronics|Power Bank|1476873|1|1476873|Normal Day|NONE|0|0|18000|1476873| cod |Returning|Makassar|In Stock| completed |5.0|N
ORD01186|2024-06-12|06-19-2024|Tokopedia|Fashion|Women Dress|231072|2|462144|Mega Campaign|DISC20|20|92429|15000|369715|Virtual Account|Returning|Surabaya|In Stock|delivered|3.0|Yes
ORD01511|2024/08/07|08-14-2024|Tokopedia| home living |Vacuum Cleaner|512063|3|1536189|Flash Sale|DISC10|10|153619|0|1382570|Transfer Bank|New|Yogyakarta|In Stock|DELIVERED|4|No
ORD00772|2024-12-08||Tokopedia|Beauty|Body Lotion|221586|2|443172|Payday Sale|DISC15|15|Rp 66.476|0|376696|COD|Returning|Surabaya|In Stock|DELIVERED|5.0|normal
ORD00880|2024/04/06||blibli|Beauty|Lip Tint|297973|8|2383784|Normal Day|NONE|0|0|12000|0|credit card|VIP|Makassar|Low Stock|Cancelled||Yes
ORD00592|03-15-2024||Blibli|Fashion|Sneakers|102844|8|822752|Mega Campaign|DISC20|20|164550|25000|0|E-Wallet|Returning|Bekasi|In Stock|CANCEL||Yes
ORD01367|07-24-2024|2024-07-25|Blibli|Sports|Dumbbell 5kg|297954|10|2979540|Clearance|CLEAR30|30|893862|20000|2085678|COD|New|Yogyakarta|In Stock|delivered|5.0|N
ORD01178|11-14-2024|2024-11-16|Blibli| Sports|Dumbbell 5kg|710898|2|1421796|Payday Sale|DISC15|15|213269|18000|1208527|Virtual Account|VIP|Bandung|In Stock|delivered|5.0|PRIORITY
ORD00276|2024/06/15|17/06/2024|Lazada|Sports|Cycling Gloves|526279|4|2105116|Payday Sale|DISC15|15|315767|20000|1789349|E-Wallet|Returning|Bandung|In Stock|delivered|3.0|normal
ORD00995|22/03/2024|01/04/2024|TikTok Shop|Fashion|Men T-Shirt|105558|3|316674|Mega Campaign|DISC20|20|63335|25000|253339|Transfer Bank|VIP|Semarang|In Stock|DELIVERED|5.0|Y
